mine_id,subunit_cd,calendar_yr,annual_hrs,annual_coal_prod,avg_annual_empl,load_dt
0100003,03,2017,65120,0,32,2018-01-31 01:03:39.935246 -05:00
0100003,30,2017,157488,0,71,2018-01-31 01:03:36.831537 -05:00
0100003,99,2017,2093,0,1,2018-01-31 01:03:36.308997 -05:00
0100004,03,2017,62877,0,26,2018-01-31 01:03:41.064003 -05:00
0100004,30,2017,6598,0,10,2018-01-31 01:03:40.425950 -05:00
0100006,03,2017,15749,0,6,2018-01-31 01:03:41.345534 -05:00
0100006,30,2017,20191,0,8,2018-01-31 01:03:40.878635 -05:00
0100006,99,2017,6591,0,3,2018-01-31 01:03:37.302912 -05:00
0100008,03,2017,42332,0,16,2018-01-31 01:03:39.992606 -05:00
0100008,99,2017,35200,0,14,2018-01-31 01:03:38.524084 -05:00
0100008,30,2017,74123,0,30,2018-01-31 01:03:37.678461 -05:00
0100009,99,2017,7014,0,3,2018-01-31 01:03:40.849633 -05:00
0100009,30,2017,36394,0,14,2018-01-31 01:03:39.680362 -05:00
0100009,03,2017,23257,0,12,2018-01-31 01:03:37.949970 -05:00
0100010,30,2017,16978,0,12,2018-01-31 01:03:40.865646 -05:00
0100010,99,2017,1952,0,1,2018-01-31 01:03:37.036553 -05:00
0100010,01,2017,17994,0,10,2018-01-31 01:03:36.651400 -05:00
0100011,99,2017,34222,0,27,2018-01-31 01:03:39.064304 -05:00
0100011,30,2017,149240,0,256,2018-01-31 01:03:36.797094 -05:00
0100011,03,2017,310924,0,174,2018-01-31 01:03:36.189461 -05:00
0100012,03,2017,9603,0,5,2018-01-31 01:03:39.893113 -05:00
0100012,30,2017,12363,0,7,2018-01-31 01:03:37.862888 -05:00
0100012,99,2017,4364,0,2,2018-01-31 01:03:36.469086 -05:00
0100013,30,2017,17693,0,8,2018-01-31 01:03:39.054993 -05:00
0100013,99,2017,11454,0,5,2018-01-31 01:03:37.846711 -05:00
0100013,03,2017,10626,0,4,2018-01-31 01:03:36.343990 -05:00
0100016,99,2017,33011,0,19,2018-01-31 01:03:41.663348 -05:00
0100016,30,2017,144628,0,67,2018-01-31 01:03:39.468576 -05:00
0100016,03,2017,13661,0,7,2018-01-31 01:03:39.138310 -05:00
0100021,30,2017,40978,0,14,2018-01-31 01:03:37.951047 -05:00
0100021,03,2017,30733,0,14,2018-01-31 01:03:37.235809 -05:00
0100021,99,2017,25021,0,10,2018-01-31 01:03:37.036552 -05:00
0100027,99,2017,15600,0,6,2018-01-31 01:03:41.007326 -05:00
0100027,03,2017,26258,0,11,2018-01-31 01:03:40.898087 -05:00
0100027,30,2017,247672,0,109,2018-01-31 01:03:38.554367 -05:00
0100028,30,2017,8615,0,3,2018-01-31 01:03:41.144551 -05:00
0100028,03,2017,7971,0,4,2018-01-31 01:03:41.048427 -05:00
0100028,99,2017,5248,0,2,2018-01-31 01:03:38.703725 -05:00
0100030,03,2017,6141,0,3,2018-01-31 01:03:41.117503 -05:00
0100030,99,2017,7794,0,2,2018-01-31 01:03:40.595750 -05:00
0100030,30,2017,16830,0,7,2018-01-31 01:03:36.393342 -05:00
0100034,30,2017,88826,0,37,2018-01-31 01:03:41.357385 -05:00
0100034,99,2017,18643,0,9,2018-01-31 01:03:40.459520 -05:00
0100034,03,2017,5124,0,2,2018-01-31 01:03:37.382425 -05:00
0100036,03,2017,11827,0,5,2018-01-31 01:03:40.939107 -05:00
0100036,99,2017,6029,0,2,2018-01-31 01:03:38.260246 -05:00
0100036,30,2017,21776,0,8,2018-01-31 01:03:36.796275 -05:00
0100037,03,2017,4090,0,3,2018-01-31 01:03:41.171534 -05:00
0100037,30,2017,7139,0,4,2018-01-31 01:03:37.939067 -05:00
0100037,99,2017,4938,0,2,2018-01-31 01:03:37.662539 -05:00
0100039,99,2017,6121,0,3,2018-01-31 01:03:41.525385 -05:00
0100039,30,2017,8830,0,3,2018-01-31 01:03:37.173031 -05:00
0100039,03,2017,10959,0,5,2018-01-31 01:03:36.730473 -05:00
0100040,30,2017,179099,0,80,2018-01-31 01:03:38.428266 -05:00
0100043,99,2017,14300,0,5,2018-01-31 01:03:40.991097 -05:00
0100043,30,2017,231281,0,100,2018-01-31 01:03:37.751613 -05:00
0100043,03,2017,31467,0,12,2018-01-31 01:03:36.458350 -05:00
0100045,99,2017,5570,0,3,2018-01-31 01:03:40.474703 -05:00
0100045,03,2017,7201,0,4,2018-01-31 01:03:38.658092 -05:00
0100045,30,2017,9629,0,4,2018-01-31 01:03:37.243620 -05:00
0100047,03,2017,5193,0,2,2018-01-31 01:03:37.730888 -05:00
0100047,30,2017,11915,0,4,2018-01-31 01:03:36.458352 -05:00
0100047,99,2017,9428,0,4,2018-01-31 01:03:36.334779 -05:00
0100050,99,2017,10826,0,4,2018-01-31 01:03:41.576317 -05:00
0100050,30,2017,97079,0,46,2018-01-31 01:03:39.993192 -05:00
0100050,03,2017,5604,0,3,2018-01-31 01:03:36.966670 -05:00
0100052,99,2017,38800,0,21,2018-01-31 01:03:40.273548 -05:00
0100052,03,2017,63190,0,28,2018-01-31 01:03:39.083455 -05:00
0100093,99,2017,12022,0,6,2018-01-31 01:03:40.585962 -05:00
0100093,30,2017,16247,0,9,2018-01-31 01:03:37.989938 -05:00
0100093,03,2017,7922,0,4,2018-01-31 01:03:36.227363 -05:00
0100094,03,2017,2640,0,3,2018-01-31 01:03:37.328182 -05:00
0100096,03,2017,4355,0,4,2018-01-31 01:03:39.500870 -05:00
0100115,03,2017,1846,0,1,2018-01-31 01:03:41.270565 -05:00
0100115,99,2017,4,0,1,2018-01-31 01:03:40.939109 -05:00
0100130,03,2017,5104,0,3,2018-01-31 01:03:39.804986 -05:00
0100130,99,2017,5308,0,2,2018-01-31 01:03:39.210221 -05:00
0100130,30,2017,7566,0,3,2018-01-31 01:03:38.353949 -05:00
0100329,99,2017,625,0,1,2018-01-31 01:03:39.373999 -05:00
0100329,30,2017,83167,0,48,2018-01-31 01:03:37.462130 -05:00
0100347,03,2017,140236,217093,49,2018-01-31 01:03:38.751399 -05:00
0100347,30,2017,17015,0,6,2018-01-31 01:03:37.438990 -05:00
0100347,99,2017,4551,0,2,2018-01-31 01:03:35.956334 -05:00
0100394,99,2017,15468,0,9,2018-01-31 01:03:40.821967 -05:00
0100394,30,2017,170881,0,73,2018-01-31 01:03:38.029158 -05:00
0100394,03,2017,117983,0,47,2018-01-31 01:03:37.899629 -05:00
0100526,03,2017,7024,0,4,2018-01-31 01:03:41.225720 -05:00
0100526,30,2017,10167,0,5,2018-01-31 01:03:38.399907 -05:00
0100526,99,2017,12548,0,5,2018-01-31 01:03:37.037434 -05:00
0100535,99,2017,1000,0,1,2018-01-31 01:03:39.854588 -05:00
0100535,06,2017,7600,0,4,2018-01-31 01:03:38.036736 -05:00
0100578,99,2017,2740,0,1,2018-01-31 01:03:41.048004 -05:00
0100578,06,2017,9762,0,4,2018-01-31 01:03:37.105113 -05:00
0100617,03,2017,14388,0,8,2018-01-31 01:03:40.777381 -05:00
0100617,99,2017,3495,0,2,2018-01-31 01:03:37.165495 -05:00
0100627,03,2017,123298,307234,41,2018-01-31 01:03:40.036690 -05:00
0100627,99,2017,2249,0,1,2018-01-31 01:03:37.911238 -05:00
0100629,30,2017,284590,0,129,2018-01-31 01:03:40.870137 -05:00
0100629,03,2017,62889,0,31,2018-01-31 01:03:40.805912 -05:00
0100629,99,2017,5792,0,3,2018-01-31 01:03:36.920206 -05:00
0100634,99,2017,3797,0,2,2018-01-31 01:03:39.704481 -05:00
0100634,30,2017,9969,0,5,2018-01-31 01:03:37.450769 -05:00
0100634,03,2017,9969,0,5,2018-01-31 01:03:36.334082 -05:00
0100678,99,2017,4496,0,2,2018-01-31 01:03:40.273639 -05:00
0100678,03,2017,26804,0,13,2018-01-31 01:03:38.210898 -05:00
0100697,99,2017,1848,0,1,2018-01-31 01:03:35.968669 -05:00
0100697,06,2017,15997,0,8,2018-01-31 01:03:37.193482 -05:00
0100766,99,2017,52,0,1,2018-01-31 01:03:41.484900 -05:00
0100766,03,2017,16966,0,7,2018-01-31 01:03:40.898080 -05:00
0100851,02,2017,54288,0,31,2018-01-31 01:03:40.392858 -05:00
0100851,01,2017,486155,1403123,311,2018-01-31 01:03:38.714963 -05:00
0100851,99,2017,15690,0,9,2018-01-31 01:03:38.117310 -05:00
0100853,30,2017,9218,0,4,2018-01-31 01:03:38.936389 -05:00
0100853,03,2017,7743,0,5,2018-01-31 01:03:38.068235 -05:00
0100853,99,2017,5076,0,2,2018-01-31 01:03:36.493807 -05:00
0101112,30,2017,62594,0,39,2018-01-31 01:03:40.961351 -05:00
0101112,99,2017,20520,0,11,2018-01-31 01:03:40.870135 -05:00
0101112,03,2017,2,0,1,2018-01-31 01:03:36.668772 -05:00
0101138,99,2017,7391,0,4,2018-01-31 01:03:39.615348 -05:00
0101138,03,2017,135867,0,74,2018-01-31 01:03:37.729947 -05:00
0101247,99,2017,13770,0,5,2018-01-31 01:03:37.823302 -05:00
0101247,30,2017,96288,0,37,2018-01-31 01:03:37.081501 -05:00
0101247,02,2017,94660,0,32,2018-01-31 01:03:36.445740 -05:00
0101247,01,2017,717885,1849387,271,2018-01-31 01:03:36.099097 -05:00
0101264,30,2017,28259,0,10,2018-01-31 01:03:37.402667 -05:00
